0.00.054.622 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.297.651 W srv  llama_server: -----------------
0.00.297.653 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.297.653 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.297.654 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.297.654 W srv  llama_server: -----------------
0.00.298.904 I srv    load_model: loading model '/mnt/ai/models/qwen36-27b-mtp-gguf/Qwen3.6-27B-MTP-Q5_K_M.gguf'
0.01.092.063 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 999, abort
0.02.943.698 I cmn          init: llama threadpool init, n_threads = 12
0.02.993.940 I common_speculative_init_result: creating MTP draft context against the target model '/mnt/ai/models/qwen36-27b-mtp-gguf/Qwen3.6-27B-MTP-Q5_K_M.gguf'
0.03.047.192 I srv    load_model: initializing, n_slots = 6, n_ctx_slot = 16384, kv_unified = 'false'
0.03.082.748 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.03.082.792 I srv  llama_server: model loaded
0.03.082.796 I srv  llama_server: listening on http://127.0.0.1:8151
0.06.009.516 I slot get_availabl: id  5 | task -1 | selected slot by LRU, t_last = -1
4.06.604.554 I slot print_timing: id  2 | task 4467 | n_gen =   2925, tg =  35.73 t/s, tg_3s =  35.12 t/s
4.06.605.362 I slot print_timing: id  5 | task 4468 | n_gen =   3040, tg =  37.13 t/s, tg_3s =  44.05 t/s
4.06.677.755 I slot print_timing: id  1 | task 4469 | n_gen =   2770, tg =  33.80 t/s, tg_3s =  33.12 t/s
4.09.621.343 I slot print_timing: id  0 | task 4470 | n_gen =   3011, tg =  35.47 t/s, tg_3s =  30.15 t/s
4.09.622.547 I slot print_timing: id  2 | task 4467 | n_gen =   3036, tg =  35.76 t/s, tg_3s =  36.78 t/s
4.09.623.420 I slot print_timing: id  5 | task 4468 | n_gen =   3152, tg =  37.13 t/s, tg_3s =  37.11 t/s
4.09.695.608 I slot print_timing: id  1 | task 4469 | n_gen =   2874, tg =  33.82 t/s, tg_3s =  34.46 t/s
4.12.650.892 I slot print_timing: id  0 | task 4470 | n_gen =   3127, tg =  35.57 t/s, tg_3s =  38.29 t/s
4.12.652.350 I slot print_timing: id  2 | task 4467 | n_gen =   3152, tg =  35.85 t/s, tg_3s =  38.29 t/s
4.12.652.874 I slot print_timing: id  5 | task 4468 | n_gen =   3269, tg =  37.18 t/s, tg_3s =  38.62 t/s
4.12.725.852 I slot print_timing: id  1 | task 4469 | n_gen =   3004, tg =  34.14 t/s, tg_3s =  42.90 t/s
4.15.676.534 I slot print_timing: id  0 | task 4470 | n_gen =   3234, tg =  35.56 t/s, tg_3s =  35.36 t/s
4.15.678.587 I slot print_timing: id  2 | task 4467 | n_gen =   3280, tg =  36.06 t/s, tg_3s =  42.30 t/s
4.15.679.647 I slot print_timing: id  5 | task 4468 | n_gen =   3401, tg =  37.40 t/s, tg_3s =  43.61 t/s
4.15.752.196 I slot print_timing: id  1 | task 4469 | n_gen =   3105, tg =  34.11 t/s, tg_3s =  33.37 t/s
4.18.707.623 I slot print_timing: id  0 | task 4470 | n_gen =   3353, tg =  35.68 t/s, tg_3s =  39.26 t/s
4.18.709.135 I slot print_timing: id  2 | task 4467 | n_gen =   3401, tg =  36.19 t/s, tg_3s =  39.93 t/s
4.18.710.498 I slot print_timing: id  5 | task 4468 | n_gen =   3529, tg =  37.55 t/s, tg_3s =  42.23 t/s
4.18.783.395 I slot print_timing: id  1 | task 4469 | n_gen =   3223, tg =  34.27 t/s, tg_3s =  38.93 t/s
4.21.740.112 I slot print_timing: id  0 | task 4470 | n_gen =   3460, tg =  35.67 t/s, tg_3s =  35.28 t/s
4.21.741.263 I slot print_timing: id  2 | task 4467 | n_gen =   3520, tg =  36.28 t/s, tg_3s =  39.25 t/s
4.21.742.601 I slot print_timing: id  5 | task 4468 | n_gen =   3669, tg =  37.82 t/s, tg_3s =  46.17 t/s
4.21.814.944 I slot print_timing: id  1 | task 4469 | n_gen =   3314, tg =  34.13 t/s, tg_3s =  30.02 t/s
4.24.774.849 I slot print_timing: id  0 | task 4470 | n_gen =   3578, tg =  35.76 t/s, tg_3s =  38.88 t/s
4.24.776.732 I slot print_timing: id  2 | task 4467 | n_gen =   3627, tg =  36.25 t/s, tg_3s =  35.25 t/s
4.24.777.458 I slot print_timing: id  5 | task 4468 | n_gen =   3798, tg =  37.96 t/s, tg_3s =  42.51 t/s
4.24.850.364 I slot print_timing: id  1 | task 4469 | n_gen =   3435, tg =  34.31 t/s, tg_3s =  39.86 t/s
4.27.811.777 I slot print_timing: id  0 | task 4470 | n_gen =   3705, tg =  35.94 t/s, tg_3s =  41.82 t/s
4.27.813.958 I slot print_timing: id  2 | task 4467 | n_gen =   3738, tg =  36.26 t/s, tg_3s =  36.55 t/s
4.27.814.874 I slot print_timing: id  5 | task 4468 | n_gen =   3931, tg =  38.13 t/s, tg_3s =  43.79 t/s
4.27.887.829 I slot print_timing: id  1 | task 4469 | n_gen =   3540, tg =  34.32 t/s, tg_3s =  34.57 t/s
4.30.856.070 I slot print_timing: id  0 | task 4470 | n_gen =   3818, tg =  35.98 t/s, tg_3s =  37.12 t/s
4.30.857.414 I slot print_timing: id  2 | task 4467 | n_gen =   3858, tg =  36.35 t/s, tg_3s =  39.43 t/s
4.30.857.997 I slot print_timing: id  5 | task 4468 | n_gen =   4058, tg =  38.24 t/s, tg_3s =  41.73 t/s
4.30.930.235 I slot print_timing: id  1 | task 4469 | n_gen =   3652, tg =  34.39 t/s, tg_3s =  36.81 t/s
4.33.900.429 I slot print_timing: id  0 | task 4470 | n_gen =   3936, tg =  36.05 t/s, tg_3s =  38.76 t/s
4.33.901.368 I slot print_timing: id  2 | task 4467 | n_gen =   3980, tg =  36.46 t/s, tg_3s =  40.08 t/s
4.33.902.236 I slot print_timing: id  5 | task 4468 | n_gen =   4192, tg =  38.40 t/s, tg_3s =  44.02 t/s
4.33.975.553 I slot print_timing: id  1 | task 4469 | n_gen =   3775, tg =  34.55 t/s, tg_3s =  40.39 t/s
4.36.943.227 I slot print_timing: id  0 | task 4470 | n_gen =   4074, tg =  36.31 t/s, tg_3s =  45.35 t/s
4.36.944.566 I slot print_timing: id  2 | task 4467 | n_gen =   4091, tg =  36.46 t/s, tg_3s =  36.47 t/s
4.36.945.920 I slot print_timing: id  5 | task 4468 | n_gen =   4299, tg =  38.31 t/s, tg_3s =  35.15 t/s
4.37.019.321 I slot print_timing: id  1 | task 4469 | n_gen =   3887, tg =  34.62 t/s, tg_3s =  36.80 t/s
4.39.996.492 I slot print_timing: id  0 | task 4470 | n_gen =   4201, tg =  36.45 t/s, tg_3s =  41.59 t/s
4.39.997.494 I slot print_timing: id  2 | task 4467 | n_gen =   4203, tg =  36.46 t/s, tg_3s =  36.69 t/s
4.39.998.855 I slot print_timing: id  5 | task 4468 | n_gen =   4409, tg =  38.25 t/s, tg_3s =  36.03 t/s
4.40.071.696 I slot print_timing: id  1 | task 4469 | n_gen =   4012, tg =  34.78 t/s, tg_3s =  40.95 t/s
4.43.045.640 I slot print_timing: id  0 | task 4470 | n_gen =   4312, tg =  36.44 t/s, tg_3s =  36.40 t/s
4.43.046.822 I slot print_timing: id  2 | task 4467 | n_gen =   4310, tg =  36.43 t/s, tg_3s =  35.09 t/s
4.43.047.188 I slot print_timing: id  5 | task 4468 | n_gen =   4541, tg =  38.38 t/s, tg_3s =  43.30 t/s
4.43.120.085 I slot print_timing: id  1 | task 4469 | n_gen =   4121, tg =  34.81 t/s, tg_3s =  35.76 t/s
4.46.100.982 I slot print_timing: id  0 | task 4470 | n_gen =   4444, tg =  36.62 t/s, tg_3s =  43.20 t/s
4.46.102.339 I slot print_timing: id  2 | task 4467 | n_gen =   4411, tg =  36.34 t/s, tg_3s =  33.05 t/s
4.46.103.207 I slot print_timing: id  5 | task 4468 | n_gen =   4671, tg =  38.49 t/s, tg_3s =  42.54 t/s
4.46.177.090 I slot print_timing: id  1 | task 4469 | n_gen =   4234, tg =  34.86 t/s, tg_3s =  36.96 t/s
4.49.161.545 I slot print_timing: id  0 | task 4470 | n_gen =   4559, tg =  36.64 t/s, tg_3s =  37.57 t/s
4.49.162.583 I slot print_timing: id  2 | task 4467 | n_gen =   4526, tg =  36.37 t/s, tg_3s =  37.58 t/s
4.49.163.093 I slot print_timing: id  5 | task 4468 | n_gen =   4811, tg =  38.66 t/s, tg_3s =  45.75 t/s
4.49.235.912 I slot print_timing: id  1 | task 4469 | n_gen =   4362, tg =  35.03 t/s, tg_3s =  41.85 t/s
4.52.217.811 I slot print_timing: id  0 | task 4470 | n_gen =   4649, tg =  36.47 t/s, tg_3s =  29.45 t/s
4.52.218.640 I slot print_timing: id  2 | task 4467 | n_gen =   4639, tg =  36.39 t/s, tg_3s =  36.98 t/s
4.52.219.302 I slot print_timing: id  5 | task 4468 | n_gen =   4951, tg =  38.84 t/s, tg_3s =  45.81 t/s
4.52.292.206 I slot print_timing: id  1 | task 4469 | n_gen =   4468, tg =  35.03 t/s, tg_3s =  34.68 t/s
4.55.272.930 I slot print_timing: id  0 | task 4470 | n_gen =   4769, tg =  36.53 t/s, tg_3s =  39.28 t/s
4.55.274.079 I slot print_timing: id  2 | task 4467 | n_gen =   4769, tg =  36.53 t/s, tg_3s =  42.55 t/s
4.55.274.584 I slot print_timing: id  5 | task 4468 | n_gen =   5070, tg =  38.84 t/s, tg_3s =  38.95 t/s
4.55.348.684 I slot print_timing: id  1 | task 4469 | n_gen =   4575, tg =  35.03 t/s, tg_3s =  35.01 t/s
4.58.336.557 I slot print_timing: id  0 | task 4470 | n_gen =   4892, tg =  36.61 t/s, tg_3s =  40.15 t/s
4.58.337.690 I slot print_timing: id  2 | task 4467 | n_gen =   4877, tg =  36.50 t/s, tg_3s =  35.25 t/s
4.58.338.102 I slot print_timing: id  5 | task 4468 | n_gen =   5211, tg =  39.00 t/s, tg_3s =  46.03 t/s
4.58.410.957 I slot print_timing: id  1 | task 4469 | n_gen =   4682, tg =  35.02 t/s, tg_3s =  34.94 t/s
5.01.402.598 I slot print_timing: id  0 | task 4470 | n_gen =   5022, tg =  36.74 t/s, tg_3s =  42.40 t/s
5.01.403.601 I slot print_timing: id  2 | task 4467 | n_gen =   5001, tg =  36.59 t/s, tg_3s =  40.44 t/s
5.01.403.971 I slot print_timing: id  5 | task 4468 | n_gen =   5338, tg =  39.06 t/s, tg_3s =  41.42 t/s
5.01.477.512 I slot print_timing: id  1 | task 4469 | n_gen =   4805, tg =  35.14 t/s, tg_3s =  40.11 t/s
5.04.461.310 I slot print_timing: id  0 | task 4470 | n_gen =   5148, tg =  36.84 t/s, tg_3s =  41.19 t/s
5.04.462.249 I slot print_timing: id  2 | task 4467 | n_gen =   5110, tg =  36.57 t/s, tg_3s =  35.64 t/s
5.04.462.633 I slot print_timing: id  5 | task 4468 | n_gen =   5443, tg =  38.95 t/s, tg_3s =  34.33 t/s
5.04.536.034 I slot print_timing: id  1 | task 4469 | n_gen =   4917, tg =  35.17 t/s, tg_3s =  36.62 t/s
5.07.527.005 I slot print_timing: id  0 | task 4470 | n_gen =   5270, tg =  36.91 t/s, tg_3s =  39.80 t/s
5.07.528.914 I slot print_timing: id  2 | task 4467 | n_gen =   5218, tg =  36.54 t/s, tg_3s =  35.22 t/s
5.07.529.636 I slot print_timing: id  5 | task 4468 | n_gen =   5598, tg =  39.20 t/s, tg_3s =  50.54 t/s
5.07.602.752 I slot print_timing: id  1 | task 4469 | n_gen =   5040, tg =  35.28 t/s, tg_3s =  40.11 t/s
5.10.596.274 I slot print_timing: id  0 | task 4470 | n_gen =   5391, tg =  36.96 t/s, tg_3s =  39.42 t/s
5.10.597.239 I slot print_timing: id  2 | task 4467 | n_gen =   5322, tg =  36.49 t/s, tg_3s =  33.89 t/s
5.10.598.571 I slot print_timing: id  5 | task 4468 | n_gen =   5743, tg =  39.37 t/s, tg_3s =  47.25 t/s
5.10.671.563 I slot print_timing: id  1 | task 4469 | n_gen =   5162, tg =  35.37 t/s, tg_3s =  39.75 t/s
5.13.596.491 I slot print_timing: id  0 | task 4470 | n_gen =   5510, tg =  37.01 t/s, tg_3s =  39.66 t/s
5.13.597.748 I slot print_timing: id  2 | task 4467 | n_gen =   5436, tg =  36.52 t/s, tg_3s =  37.99 t/s
5.13.671.994 I slot print_timing: id  1 | task 4469 | n_gen =   5281, tg =  35.46 t/s, tg_3s =  39.66 t/s
5.13.673.672 I slot print_timing: id  5 | task 4468 | n_gen =   5870, tg =  39.41 t/s, tg_3s =  41.30 t/s
5.16.601.280 I slot print_timing: id  0 | task 4470 | n_gen =   5619, tg =  37.00 t/s, tg_3s =  36.28 t/s
5.16.602.896 I slot print_timing: id  2 | task 4467 | n_gen =   5571, tg =  36.68 t/s, tg_3s =  44.92 t/s
5.16.677.179 I slot print_timing: id  1 | task 4469 | n_gen =   5399, tg =  35.53 t/s, tg_3s =  39.27 t/s
5.16.678.670 I slot print_timing: id  5 | task 4468 | n_gen =   5999, tg =  39.48 t/s, tg_3s =  42.93 t/s
5.19.606.512 I slot print_timing: id  0 | task 4470 | n_gen =   5748, tg =  37.11 t/s, tg_3s =  42.93 t/s
5.19.607.810 I slot print_timing: id  2 | task 4467 | n_gen =   5695, tg =  36.77 t/s, tg_3s =  41.27 t/s
5.19.682.648 I slot print_timing: id  1 | task 4469 | n_gen =   5518, tg =  35.61 t/s, tg_3s =  39.59 t/s
5.19.683.586 I slot print_timing: id  5 | task 4468 | n_gen =   6121, tg =  39.50 t/s, tg_3s =  40.60 t/s
5.22.615.439 I slot print_timing: id  0 | task 4470 | n_gen =   5845, tg =  37.02 t/s, tg_3s =  32.24 t/s
5.22.617.331 I slot print_timing: id  2 | task 4467 | n_gen =   5812, tg =  36.81 t/s, tg_3s =  38.88 t/s
5.22.691.887 I slot print_timing: id  1 | task 4469 | n_gen =   5645, tg =  35.74 t/s, tg_3s =  42.20 t/s
5.22.693.146 I slot print_timing: id  5 | task 4468 | n_gen =   6250, tg =  39.57 t/s, tg_3s =  42.86 t/s
5.25.628.227 I slot print_timing: id  0 | task 4470 | n_gen =   5981, tg =  37.17 t/s, tg_3s =  45.14 t/s
5.25.630.297 I slot print_timing: id  2 | task 4467 | n_gen =   5953, tg =  37.00 t/s, tg_3s =  46.80 t/s
5.25.704.532 I slot print_timing: id  1 | task 4469 | n_gen =   5760, tg =  35.78 t/s, tg_3s =  38.17 t/s
5.25.706.441 I slot print_timing: id  5 | task 4468 | n_gen =   6377, tg =  39.62 t/s, tg_3s =  42.15 t/s
5.28.640.373 I slot print_timing: id  0 | task 4470 | n_gen =   6088, tg =  37.14 t/s, tg_3s =  35.52 t/s
5.28.641.829 I slot print_timing: id  2 | task 4467 | n_gen =   6095, tg =  37.19 t/s, tg_3s =  47.15 t/s
5.28.717.046 I slot print_timing: id  1 | task 4469 | n_gen =   5893, tg =  35.94 t/s, tg_3s =  44.15 t/s
5.28.719.111 I slot print_timing: id  5 | task 4468 | n_gen =   6507, tg =  39.68 t/s, tg_3s =  43.15 t/s
5.31.667.515 I slot print_timing: id  0 | task 4470 | n_gen =   6198, tg =  37.13 t/s, tg_3s =  36.34 t/s
5.31.669.772 I slot print_timing: id  2 | task 4467 | n_gen =   6295, tg =  37.71 t/s, tg_3s =  66.05 t/s
5.31.745.124 I slot print_timing: id  1 | task 4469 | n_gen =   6016, tg =  36.02 t/s, tg_3s =  40.62 t/s
5.31.747.028 I slot print_timing: id  5 | task 4468 | n_gen =   6633, tg =  39.72 t/s, tg_3s =  41.61 t/s
5.32.965.086 I slot print_timing: id  5 | task 4468 | prompt eval time =     333.58 ms /    60 tokens (    5.56 ms per token,   179.87 tokens per second)
5.32.965.089 I slot print_timing: id  5 | task 4468 |        eval time =  168205.84 ms /  6693 tokens (   25.14 ms per token,    39.78 tokens per second)
5.32.965.089 I slot print_timing: id  5 | task 4468 |       total time =  168539.42 ms /  6753 tokens
5.32.965.090 I slot print_timing: id  5 | task 4468 |    graphs reused =       4408
5.32.965.094 I slot print_timing: id  5 | task 4468 | draft acceptance = 0.32144 ( 4407 accepted / 13710 generated), mean len =  2.93
5.32.965.123 I slot      release: id  5 | task 4468 | stop processing: n_tokens = 6752, truncated = 0
5.34.670.798 I slot print_timing: id  0 | task 4470 | n_gen =   6360, tg =  37.42 t/s, tg_3s =  53.94 t/s
5.34.672.686 I slot print_timing: id  2 | task 4467 | n_gen =   6601, tg =  38.84 t/s, tg_3s = 101.90 t/s
5.34.750.212 I slot print_timing: id  1 | task 4469 | n_gen =   6204, tg =  36.49 t/s, tg_3s =  62.56 t/s
5.37.704.872 I slot print_timing: id  0 | task 4470 | n_gen =   6598, tg =  38.14 t/s, tg_3s =  78.44 t/s
5.37.706.639 I slot print_timing: id  2 | task 4467 | n_gen =   6985, tg =  40.38 t/s, tg_3s = 126.57 t/s
5.37.784.582 I slot print_timing: id  1 | task 4469 | n_gen =   6415, tg =  37.07 t/s, tg_3s =  69.54 t/s
5.38.734.432 I slot print_timing: id  2 | task 4467 | prompt eval time =     332.93 ms /    63 tokens (    5.28 ms per token,   189.23 tokens per second)
5.38.734.435 I slot print_timing: id  2 | task 4467 |        eval time =  173975.87 ms /  7103 tokens (   24.50 ms per token,    40.82 tokens per second)
5.38.734.436 I slot print_timing: id  2 | task 4467 |       total time =  174308.80 ms /  7166 tokens
5.38.734.437 I slot print_timing: id  2 | task 4467 |    graphs reused =       4550
5.38.734.440 I slot print_timing: id  2 | task 4467 | draft acceptance = 0.32051 ( 4675 accepted / 14586 generated), mean len =  2.92
5.38.734.469 I slot      release: id  2 | task 4467 | stop processing: n_tokens = 7169, truncated = 0
5.40.708.170 I slot print_timing: id  0 | task 4470 | n_gen =   6863, tg =  39.00 t/s, tg_3s =  88.24 t/s
5.40.812.756 I slot print_timing: id  1 | task 4469 | n_gen =   6630, tg =  37.65 t/s, tg_3s =  71.00 t/s
5.42.255.879 I slot print_timing: id  0 | task 4470 | prompt eval time =     331.69 ms /    62 tokens (    5.35 ms per token,   186.92 tokens per second)
5.42.255.882 I slot print_timing: id  0 | task 4470 |        eval time =  177498.58 ms /  6997 tokens (   25.37 ms per token,    39.41 tokens per second)
5.42.255.883 I slot print_timing: id  0 | task 4470 |       total time =  177830.28 ms /  7059 tokens
5.42.255.884 I slot print_timing: id  0 | task 4470 |    graphs reused =       4650
5.42.255.888 I slot print_timing: id  0 | task 4470 | draft acceptance = 0.29385 ( 4466 accepted / 15198 generated), mean len =  2.76
5.42.255.920 I slot      release: id  0 | task 4470 | stop processing: n_tokens = 7061, truncated = 0
5.43.818.507 I slot print_timing: id  1 | task 4469 | n_gen =   6880, tg =  38.42 t/s, tg_3s =  83.17 t/s
5.46.839.593 I slot print_timing: id  1 | task 4469 | n_gen =   7133, tg =  39.17 t/s, tg_3s =  83.74 t/s
5.49.870.429 I slot print_timing: id  1 | task 4469 | n_gen =   7409, tg =  40.02 t/s, tg_3s =  91.06 t/s
5.52.900.509 I slot print_timing: id  1 | task 4469 | n_gen =   7642, tg =  40.61 t/s, tg_3s =  76.90 t/s
5.55.902.461 I slot print_timing: id  1 | task 4469 | n_gen =   7901, tg =  41.33 t/s, tg_3s =  86.28 t/s
5.58.935.114 I slot print_timing: id  1 | task 4469 | n_gen =   8166, tg =  42.05 t/s, tg_3s =  87.38 t/s
5.59.213.732 I slot print_timing: id  1 | task 4469 | prompt eval time =     332.31 ms /    60 tokens (    5.54 ms per token,   180.55 tokens per second)
5.59.213.735 I slot print_timing: id  1 | task 4469 |        eval time =  194455.81 ms /  8192 tokens (   23.74 ms per token,    42.12 tokens per second)
5.59.213.736 I slot print_timing: id  1 | task 4469 |       total time =  194788.12 ms /  8252 tokens
5.59.213.738 I slot print_timing: id  1 | task 4469 |    graphs reused =       5151
5.59.213.742 I slot print_timing: id  1 | task 4469 | draft acceptance = 0.28210 ( 5148 accepted / 18249 generated), mean len =  2.69
5.59.213.772 I slot      release: id  1 | task 4469 | stop processing: n_tokens = 8251, truncated = 0
6.04.915.493 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.102 (> 0.100 thold), f_keep = 0.001
6.05.039.400 I slot launch_slot_: id  0 | task 7516 | processing task, is_child = 0
6.05.422.954 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 4859064303946
6.05.423.374 I slot launch_slot_: id  3 | task 7517 | processing task, is_child = 0
6.05.424.616 I slot get_availabl: id  4 | task -1 | selected slot by LRU, t_last = 4859071809548
6.05.424.945 I slot launch_slot_: id  4 | task 7518 | processing task, is_child = 0
6.05.425.824 I slot get_availabl: id  5 | task -1 | selected slot by LRU, t_last = 4859246209599
6.05.426.132 I slot launch_slot_: id  5 | task 7519 | processing task, is_child = 0
6.05.426.734 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 4859251978945
6.05.427.045 I slot launch_slot_: id  2 | task 7520 | processing task, is_child = 0
6.05.427.362 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 4859272458248
6.05.427.824 I slot launch_slot_: id  1 | task 7522 | processing task, is_child = 0
6.08.928.435 I slot print_timing: id  0 | task 7516 | n_gen =    149, tg =  49.29 t/s, tg_3s =  49.62 t/s
6.08.929.486 I slot print_timing: id  1 | task 7522 | n_gen =    175, tg =  57.93 t/s, tg_3s =  58.26 t/s
6.08.930.205 I slot print_timing: id  2 | task 7520 | n_gen =    133, tg =  43.94 t/s, tg_3s =  44.27 t/s
6.08.930.562 I slot print_timing: id  3 | task 7517 | n_gen =    161, tg =  53.26 t/s, tg_3s =  53.59 t/s
6.08.930.910 I slot print_timing: id  4 | task 7518 | n_gen =    136, tg =  44.94 t/s, tg_3s =  45.27 t/s
6.08.931.278 I slot print_timing: id  5 | task 7519 | n_gen =    134, tg =  44.27 t/s, tg_3s =  44.61 t/s
6.11.964.397 I slot print_timing: id  0 | task 7516 | n_gen =    284, tg =  46.86 t/s, tg_3s =  44.47 t/s
6.11.965.111 I slot print_timing: id  1 | task 7522 | n_gen =    299, tg =  49.34 t/s, tg_3s =  40.85 t/s
6.11.965.495 I slot print_timing: id  2 | task 7520 | n_gen =    266, tg =  43.88 t/s, tg_3s =  43.82 t/s
6.11.966.194 I slot print_timing: id  3 | task 7517 | n_gen =    316, tg =  52.16 t/s, tg_3s =  51.06 t/s
6.11.966.891 I slot print_timing: id  4 | task 7518 | n_gen =    278, tg =  45.86 t/s, tg_3s =  46.77 t/s
6.11.967.271 I slot print_timing: id  5 | task 7519 | n_gen =    260, tg =  42.88 t/s, tg_3s =  41.50 t/s
6.15.005.210 I slot print_timing: id  0 | task 7516 | n_gen =    416, tg =  45.71 t/s, tg_3s =  43.41 t/s
6.15.005.792 I slot print_timing: id  1 | task 7522 | n_gen =    435, tg =  47.80 t/s, tg_3s =  44.73 t/s
6.15.006.332 I slot print_timing: id  2 | task 7520 | n_gen =    399, tg =  43.83 t/s, tg_3s =  43.74 t/s
6.15.007.499 I slot print_timing: id  3 | task 7517 | n_gen =    459, tg =  50.44 t/s, tg_3s =  47.02 t/s
6.15.008.351 I slot print_timing: id  4 | task 7518 | n_gen =    415, tg =  45.59 t/s, tg_3s =  45.04 t/s
6.15.008.873 I slot print_timing: id  5 | task 7519 | n_gen =    404, tg =  44.38 t/s, tg_3s =  47.34 t/s
6.18.005.529 I slot print_timing: id  0 | task 7516 | n_gen =    557, tg =  46.03 t/s, tg_3s =  47.00 t/s
6.18.005.928 I slot print_timing: id  1 | task 7522 | n_gen =    573, tg =  47.35 t/s, tg_3s =  46.00 t/s
6.18.006.795 I slot print_timing: id  2 | task 7520 | n_gen =    542, tg =  44.78 t/s, tg_3s =  47.66 t/s
6.18.058.119 I slot print_timing: id  3 | task 7517 | n_gen =    627, tg =  51.60 t/s, tg_3s =  55.07 t/s
6.18.059.359 I slot print_timing: id  4 | task 7518 | n_gen =    560, tg =  46.07 t/s, tg_3s =  47.53 t/s
6.18.059.971 I slot print_timing: id  5 | task 7519 | n_gen =    543, tg =  44.67 t/s, tg_3s =  45.56 t/s
6.21.036.737 I slot print_timing: id  0 | task 7516 | n_gen =    703, tg =  46.46 t/s, tg_3s =  48.17 t/s
6.21.037.388 I slot print_timing: id  1 | task 7522 | n_gen =    751, tg =  49.63 t/s, tg_3s =  58.72 t/s
6.21.037.862 I slot print_timing: id  2 | task 7520 | n_gen =    701, tg =  46.32 t/s, tg_3s =  52.46 t/s
6.21.088.601 I slot print_timing: id  3 | task 7517 | n_gen =    791, tg =  52.10 t/s, tg_3s =  54.12 t/s
6.21.089.533 I slot print_timing: id  4 | task 7518 | n_gen =    717, tg =  47.22 t/s, tg_3s =  51.81 t/s
6.21.090.447 I slot print_timing: id  5 | task 7519 | n_gen =    661, tg =  43.53 t/s, tg_3s =  38.94 t/s
6.24.072.306 I slot print_timing: id  0 | task 7516 | n_gen =    848, tg =  46.67 t/s, tg_3s =  47.77 t/s
6.24.072.809 I slot print_timing: id  1 | task 7522 | n_gen =    892, tg =  49.10 t/s, tg_3s =  46.45 t/s
6.24.073.285 I slot print_timing: id  2 | task 7520 | n_gen =    838, tg =  46.12 t/s, tg_3s =  45.13 t/s
6.24.125.293 I slot print_timing: id  3 | task 7517 | n_gen =    984, tg =  54.01 t/s, tg_3s =  63.56 t/s
6.24.125.908 I slot print_timing: id  4 | task 7518 | n_gen =    864, tg =  47.42 t/s, tg_3s =  48.41 t/s
6.24.126.512 I slot print_timing: id  5 | task 7519 | n_gen =    797, tg =  43.74 t/s, tg_3s =  44.79 t/s
6.27.109.666 I slot print_timing: id  0 | task 7516 | n_gen =    997, tg =  47.02 t/s, tg_3s =  49.06 t/s
6.27.110.795 I slot print_timing: id  1 | task 7522 | n_gen =   1061, tg =  50.04 t/s, tg_3s =  55.63 t/s
6.27.111.121 I slot print_timing: id  2 | task 7520 | n_gen =    962, tg =  45.36 t/s, tg_3s =  40.82 t/s
6.27.162.967 I slot print_timing: id  3 | task 7517 | n_gen =   1153, tg =  54.25 t/s, tg_3s =  55.63 t/s
6.27.163.423 I slot print_timing: id  4 | task 7518 | n_gen =   1030, tg =  48.45 t/s, tg_3s =  54.65 t/s
6.27.164.033 I slot print_timing: id  5 | task 7519 | n_gen =    938, tg =  44.12 t/s, tg_3s =  46.42 t/s
6.30.114.657 I slot print_timing: id  0 | task 7516 | n_gen =   1144, tg =  47.25 t/s, tg_3s =  48.92 t/s
6.30.114.997 I slot print_timing: id  1 | task 7522 | n_gen =   1209, tg =  49.94 t/s, tg_3s =  49.26 t/s
6.30.115.468 I slot print_timing: id  2 | task 7520 | n_gen =   1121, tg =  46.30 t/s, tg_3s =  52.92 t/s
6.30.167.023 I slot print_timing: id  3 | task 7517 | n_gen =   1307, tg =  53.88 t/s, tg_3s =  51.26 t/s
6.30.167.473 I slot print_timing: id  4 | task 7518 | n_gen =   1182, tg =  48.72 t/s, tg_3s =  50.60 t/s
6.30.167.926 I slot print_timing: id  5 | task 7519 | n_gen =   1084, tg =  44.68 t/s, tg_3s =  48.60 t/s
6.33.161.359 I slot print_timing: id  0 | task 7516 | n_gen =   1295, tg =  47.51 t/s, tg_3s =  49.56 t/s
6.33.162.179 I slot print_timing: id  1 | task 7522 | n_gen =   1375, tg =  50.45 t/s, tg_3s =  54.48 t/s
6.33.162.824 I slot print_timing: id  2 | task 7520 | n_gen =   1277, tg =  46.85 t/s, tg_3s =  51.19 t/s
6.33.214.850 I slot print_timing: id  3 | task 7517 | n_gen =   1436, tg =  52.59 t/s, tg_3s =  42.33 t/s
6.33.215.152 I slot print_timing: id  4 | task 7518 | n_gen =   1333, tg =  48.81 t/s, tg_3s =  49.55 t/s
